tirePopperCarId;Time Survived;Kills;Rank;Used Nitros;Damaged Tires;
0;15;1;1;2;6;
2;5;2;4;1;7;
10;15;2;1;0;8;
1;6;4;1;0;19;
4;4;1;5;0;6;
5;3;0;7;1;1;
3;15;1;1;2;7;
9;7;1;4;0;5;
11;7;0;5;1;1;
3;12;2;4;1;13;
5;15;1;1;1;2;
9;4;1;5;0;4;
3;1;0;11;0;0;
7;2;0;10;0;0;
9;3;1;6;0;3;
0;6;3;4;1;14;
2;15;4;1;1;15;
3;3;1;6;1;6;
1;3;0;9;1;0;
4;5;1;8;0;5;
11;15;0;1;0;0;
0;2;3;8;1;17;
6;2;1;7;0;6;
9;6;4;2;1;16;
7;4;3;6;0;9;
9;2;0;9;0;3;
10;8;3;1;1;14;
4;5;2;5;1;7;
9;3;0;7;0;0;
11;3;1;8;1;4;
2;8;2;3;0;7;
7;3;0;7;0;0;
10;4;4;6;1;17;
4;4;1;5;0;9;
7;1;1;11;0;5;
8;13;0;2;0;5;
6;2;1;9;0;3;
9;1;0;11;0;7;
10;6;4;3;1;19;
1;7;0;3;2;3;
2;8;1;1;0;4;
4;4;2;5;0;9;
8;0;0;11;0;2;
10;5;1;6;0;8;
11;4;0;8;0;0;
0;12;3;1;1;9;
3;2;0;8;1;0;
9;6;2;3;0;6;
4;13;1;4;1;5;
10;1;0;9;0;3;
11;13;3;3;0;10;
3;13;0;3;1;2;
7;4;1;9;1;4;
8;0;0;12;0;0;
0;8;1;1;0;1;
3;3;0;7;0;0;
4;3;4;5;1;38;
0;0;0;12;0;0;
3;7;0;6;2;8;
11;15;4;1;1;13;
0;5;0;4;0;2;
1;14;2;3;2;13;
8;15;2;1;0;6;
1;4;0;5;1;1;
7;1;0;10;0;3;
8;5;4;1;1;12;
3;4;2;4;1;10;
4;2;0;10;0;3;
9;13;2;1;2;2;
2;2;2;8;0;6;
4;4;0;5;1;0;
7;4;2;6;0;4;
5;9;2;1;0;2;
7;5;1;4;1;13;
9;5;0;5;0;0;
3;13;3;2;0;18;
5;4;2;5;0;5;
7;2;0;6;0;4;
2;4;0;7;0;1;
4;8;3;4;0;11;
5;1;0;12;0;0;
0;11;2;1;0;5;
2;4;0;3;1;4;
4;4;1;4;1;12;
1;15;1;1;0;4;
3;6;2;5;1;14;
11;3;0;8;0;0;
3;2;1;8;0;1;
7;3;1;6;0;4;
9;2;1;10;0;5;
1;6;1;4;1;4;
9;3;2;6;0;9;
10;0;0;11;0;0;
0;15;4;1;1;20;
1;4;0;4;0;5;
6;0;0;11;0;0;
3;7;2;6;1;12;
6;4;1;7;1;13;
8;1;0;10;0;0;
3;3;2;7;0;7;
4;8;0;4;2;1;
7;15;3;1;0;11;
2;2;0;10;1;6;
8;2;1;11;0;4;
11;15;1;1;2;8;
1;7;1;6;1;4;
8;14;1;3;2;1;
11;7;2;5;0;18;
0;4;1;5;1;9;
3;0;0;12;0;2;
5;1;0;9;0;3;
5;15;1;1;0;2;
6;3;0;5;0;3;
9;4;4;3;0;10;
7;4;1;5;0;10;
8;2;3;6;0;7;
10;14;2;1;0;9;
0;5;1;6;1;4;
3;5;1;5;0;6;
7;8;2;3;0;13;
0;2;0;6;0;2;
1;4;2;4;1;14;
4;15;4;1;0;13;
2;3;0;8;0;4;
3;3;1;4;0;6;
9;12;1;1;1;1;
4;2;1;8;0;5;
5;3;1;5;1;2;
11;15;3;1;3;23;
0;3;2;6;1;13;
5;3;1;7;0;5;
10;7;1;4;0;6;
1;10;0;1;1;0;
4;1;0;12;0;1;
6;3;3;4;0;11;
1;15;2;1;2;4;
5;6;1;7;0;5;
10;4;0;8;1;2;
0;7;2;4;1;14;
8;2;1;9;0;3;
10;5;0;5;1;4;
0;15;1;1;2;2;
2;2;2;8;1;16;
9;1;0;10;0;0;
0;0;1;11;0;4;
4;4;2;3;1;19;
10;15;0;1;2;4;
2;3;3;4;0;14;
7;5;1;3;2;6;
8;3;2;6;2;19;
2;15;1;1;0;5;
3;13;1;5;0;3;
10;1;2;10;1;27;
4;13;3;1;0;9;
9;5;0;5;0;0;
11;8;1;3;0;11;
1;14;3;2;1;14;
5;1;0;10;1;15;
8;2;0;7;0;0;
0;11;2;2;0;6;
4;11;2;1;0;5;
7;2;2;6;1;18;
2;3;1;5;0;9;
4;2;0;7;1;4;
9;1;0;10;0;4;
5;2;0;8;0;2;
7;0;1;11;0;3;
10;15;2;1;1;6;
1;14;1;3;3;13;
2;2;0;11;2;2;
7;6;1;5;1;9;
1;15;3;1;1;12;
5;6;1;7;0;10;
10;0;0;12;0;4;
4;0;0;11;0;3;
10;12;3;3;0;9;
11;15;1;1;1;3;
1;3;2;8;0;10;
2;0;0;12;0;0;
10;5;0;3;0;0;
2;3;0;6;0;5;
7;2;3;8;0;7;
8;15;1;1;0;1;
1;11;1;4;1;7;
7;9;1;5;1;13;
8;12;2;2;0;3;
2;8;3;4;0;11;
7;2;0;10;0;2;
10;14;2;1;2;9;
2;3;0;10;0;3;
4;5;2;6;0;5;
10;15;1;1;0;5;
1;15;0;1;0;2;
7;0;0;12;0;0;
9;15;1;1;0;5;
5;3;1;8;0;7;
7;15;2;1;0;5;
10;4;0;6;1;8;
1;15;2;1;4;14;
7;5;0;7;0;2;
10;7;1;6;0;4;
0;3;1;6;0;2;
