laserCarId;Time Survived;Kills;Rank;Used Nitros;
1;49;0;2;0;
4;2;0;13;0;
5;1;0;14;0;
15;49;1;1;2;
1;2;1;9;0;
2;0;1;15;0;
11;1;0;12;0;
12;1;0;13;0;
0;6;1;7;0;
2;47;4;2;1;
4;1;0;12;0;
11;0;0;15;0;
5;2;0;11;0;
6;1;0;14;0;
13;2;0;9;2;
14;60;6;1;1;
2;6;1;10;0;
3;60;4;1;0;
4;60;0;1;2;
7;10;1;6;1;
2;39;4;1;0;
12;0;0;15;0;
14;0;1;14;0;
15;39;2;2;0;
0;7;0;6;0;
8;0;0;16;0;
11;1;1;13;0;
13;9;3;4;1;
0;4;0;7;0;
9;2;0;13;1;
12;21;3;5;1;
14;4;2;8;0;
2;8;2;6;0;
4;1;1;11;1;
7;3;0;9;0;
13;0;0;15;0;
0;3;0;9;1;
2;0;0;15;0;
3;4;0;8;0;
5;6;0;7;1;
0;60;1;1;0;
1;3;1;12;1;
6;1;0;14;1;
12;60;2;1;0;
4;14;2;4;0;
5;0;0;16;1;
13;0;0;15;0;
15;6;1;9;1;
5;60;1;1;1;
12;1;0;13;0;
13;60;4;1;1;
14;14;2;5;0;
2;4;1;6;1;
7;0;0;16;0;
8;4;3;7;0;
13;45;1;1;0;
2;3;1;8;0;
3;2;0;12;1;
4;2;2;10;1;
8;8;2;5;0;
1;3;0;10;0;
7;2;0;14;0;
9;1;0;16;0;
10;1;1;15;0;
0;39;2;1;1;
10;0;0;16;0;
11;0;0;11;0;
15;3;1;7;1;
6;5;1;6;1;
7;2;0;11;0;
13;1;0;12;0;
15;3;2;10;0;
0;49;0;2;1;
7;2;0;11;0;
14;49;5;1;0;
15;9;0;7;2;
4;3;1;9;0;
5;0;0;12;0;
11;4;1;8;0;
15;60;1;1;1;
1;7;0;9;0;
2;6;0;10;0;
4;36;1;1;0;
14;2;0;15;0;
2;2;0;12;0;
5;2;0;15;0;
8;4;2;6;1;
9;12;1;3;0;
1;20;1;3;0;
2;0;0;16;0;
5;1;0;12;0;
13;25;5;2;2;
3;26;3;2;2;
4;5;0;6;0;
10;26;1;1;0;
15;2;1;11;1;
0;40;0;2;0;
2;6;0;6;1;
5;0;0;16;0;
10;14;2;4;0;
0;24;1;2;0;
4;24;1;1;0;
5;3;0;11;1;
7;1;0;13;0;
2;3;1;6;0;
4;0;0;15;0;
11;2;1;9;0;
14;1;1;12;0;
0;60;1;1;0;
1;11;2;4;0;
2;1;0;14;0;
9;22;1;3;0;
5;0;0;16;0;
12;60;3;1;1;
13;60;5;1;2;
14;2;0;9;0;
1;0;0;16;0;
6;5;0;8;0;
7;7;0;6;1;
14;60;2;1;1;
1;0;0;14;0;
3;0;0;13;0;
6;41;1;3;0;
12;1;0;11;0;
0;1;0;13;0;
7;1;0;14;0;
11;0;0;15;0;
12;44;3;3;1;
1;10;1;6;0;
4;1;0;10;0;
5;22;1;4;0;
6;4;1;9;0;
9;1;0;13;0;
10;4;1;6;0;
11;14;1;3;1;
14;1;1;12;1;
4;4;1;7;1;
8;7;2;5;0;
9;0;0;15;0;
15;18;6;1;0;
1;1;0;11;0;
4;5;0;7;0;
5;3;1;8;0;
9;54;3;2;0;
7;0;0;15;0;
9;0;1;14;0;
10;2;1;11;0;
13;12;2;2;2;
7;1;1;12;0;
8;0;0;13;0;
10;2;0;11;0;
15;6;3;5;1;
2;1;0;12;1;
8;10;2;3;0;
11;2;0;11;0;
14;0;0;14;0;
1;0;0;15;0;
3;37;2;4;1;
7;4;0;11;1;
