explosiveCarId;Time Survived;Kills;Rank;Used Nitros;Cars Exploded;
4;2;1;12;1;1;
9;40;4;1;1;0;
13;2;0;13;0;1;
15;10;2;6;0;2;
5;0;0;14;0;1;
6;2;2;12;1;2;
12;3;0;8;0;1;
15;23;1;4;0;1;
2;1;1;13;0;3;
4;0;0;16;0;3;
7;1;0;12;1;2;
14;54;2;2;1;0;
5;26;3;3;0;1;
7;1;0;15;1;3;
11;1;0;13;0;2;
15;26;2;1;1;0;
2;1;0;14;0;1;
10;5;0;8;2;2;
12;0;0;16;0;4;
13;0;1;15;0;2;
0;18;2;4;0;1;
11;3;1;12;0;2;
13;51;2;2;0;1;
15;6;1;8;2;2;
2;9;2;5;1;1;
10;0;0;15;0;3;
12;18;2;3;0;2;
15;18;1;1;1;0;
3;3;0;13;1;4;
4;2;0;15;1;1;
5;6;1;8;0;2;
10;4;1;11;0;4;
5;1;2;12;0;2;
8;0;0;15;0;4;
13;2;2;10;0;4;
14;7;2;4;1;2;
4;2;3;9;0;2;
5;0;0;16;0;1;
6;0;1;14;0;7;
14;17;1;2;1;1;
2;2;0;13;0;4;
3;2;1;12;0;2;
6;2;1;11;0;2;
11;9;1;6;0;1;
3;7;0;8;1;1;
4;3;0;13;0;1;
8;22;2;4;0;1;
15;15;1;5;0;1;
2;0;0;15;0;1;
4;60;0;1;1;0;
11;26;3;5;0;1;
14;7;2;8;2;1;
5;0;0;16;0;1;
9;5;2;7;1;2;
10;5;0;6;0;0;
15;5;1;9;0;1;
1;0;0;16;0;3;
3;24;1;4;1;0;
12;8;1;6;1;1;
15;6;0;7;0;2;
2;0;0;16;0;1;
5;1;0;14;0;3;
8;2;1;12;0;2;
11;5;3;8;0;2;
0;3;2;8;1;2;
4;4;3;6;1;3;
10;1;2;13;1;4;
13;8;1;2;1;1;
1;0;1;16;0;2;
2;3;0;10;0;0;
4;12;0;5;0;1;
14;11;1;6;2;1;
6;1;0;14;0;3;
7;7;1;5;0;1;
11;7;2;7;0;1;
14;4;0;9;0;2;
0;5;1;7;0;1;
1;2;0;11;0;1;
2;47;1;3;1;1;
4;1;1;14;0;4;
1;2;1;11;2;1;
9;2;0;12;1;2;
12;27;2;3;0;1;
14;18;2;5;1;1;
4;0;0;16;0;3;
10;1;0;10;0;2;
14;20;3;4;2;1;
15;60;0;1;1;0;
3;0;1;13;1;4;
8;0;1;15;0;3;
9;3;1;8;1;2;
11;0;1;16;0;5;
0;60;0;1;4;0;
3;8;2;5;0;0;
7;0;0;16;0;4;
8;4;2;10;0;2;
2;1;0;15;1;1;
7;4;2;9;0;2;
8;1;1;14;0;4;
14;2;1;11;1;3;
5;2;0;13;0;2;
9;1;0;14;1;1;
11;0;0;16;0;2;
15;60;0;1;2;0;
2;0;0;16;0;3;
11;0;1;15;0;4;
13;6;0;8;1;1;
15;60;5;1;1;0;
1;3;0;11;0;2;
7;4;0;9;0;2;
8;2;1;13;0;3;
12;7;0;7;1;1;
4;0;0;13;0;2;
8;0;2;16;0;4;
11;11;1;5;1;1;
12;4;0;9;1;2;
5;1;1;15;0;5;
7;1;2;13;1;4;
12;18;0;4;0;1;
15;9;0;7;0;1;
1;8;2;5;0;0;
7;53;1;2;1;1;
10;2;0;13;1;2;
14;2;0;12;0;1;
3;2;1;10;1;1;
5;7;1;8;2;1;
11;1;0;14;0;3;
15;11;2;7;0;2;
1;60;1;1;2;0;
7;8;3;6;0;2;
8;60;1;1;4;0;
10;7;0;9;2;2;
2;4;1;7;0;1;
3;4;1;8;0;2;
9;0;0;14;0;1;
12;30;1;3;1;1;
9;0;1;14;0;4;
11;1;3;11;0;3;
13;1;1;13;0;3;
14;5;0;6;0;1;
2;3;0;10;0;1;
4;0;0;16;0;1;
11;9;1;7;0;1;
13;1;0;13;0;2;
4;0;0;16;0;1;
6;0;0;15;0;2;
14;2;0;10;0;3;
15;5;2;7;0;2;
0;6;1;6;1;0;
6;1;0;13;0;2;
13;10;4;4;2;1;
15;4;0;8;0;2;
2;0;0;16;0;1;
7;0;0;15;0;4;
10;0;1;14;0;3;
11;25;2;4;0;1;
3;13;2;5;0;2;
8;5;1;8;1;3;
10;35;0;3;1;1;
12;1;1;15;0;1;
1;32;1;3;1;1;
5;4;1;10;1;1;
7;2;1;14;0;3;
12;10;3;6;0;1;
2;4;2;8;0;3;
10;0;0;15;0;4;
11;51;3;2;2;1;
12;1;1;12;0;3;
2;2;1;11;0;2;
4;9;1;5;2;1;
6;1;0;14;0;2;
12;0;0;16;0;5;
2;2;2;12;0;2;
3;0;0;14;0;2;
10;0;0;13;0;4;
13;6;1;6;0;1;
3;6;1;7;1;1;
4;0;0;15;0;3;
11;4;0;11;0;3;
13;4;1;12;1;2;
4;14;1;4;0;0;
6;9;1;6;0;1;
8;4;2;10;0;0;
13;2;1;12;0;2;
1;2;0;12;0;1;
3;25;2;2;0;1;
10;11;0;6;1;1;
11;0;1;15;0;2;
6;10;0;3;1;1;
8;60;1;1;2;0;
9;4;1;8;0;1;
13;2;1;12;1;2;
3;0;0;16;0;2;
7;1;1;11;0;2;
10;4;0;8;0;1;
15;60;2;1;1;0;
0;8;2;8;0;2;
6;3;0;14;1;3;
11;6;0;9;1;3;
15;8;1;6;0;0;
0;8;2;7;0;1;
3;4;1;11;0;4;
9;0;0;15;0;1;
13;0;0;14;0;3;
0;51;2;1;0;0;
5;0;0;16;0;3;
7;1;0;13;0;2;
11;4;0;9;0;2;
0;14;1;4;0;0;
6;1;0;11;0;2;
9;47;1;2;0;1;
10;0;1;15;1;4;
0;2;0;12;0;1;
2;39;2;2;0;1;
6;10;1;6;0;1;
8;5;2;9;0;2;
0;2;1;12;1;3;
1;2;0;11;0;1;
2;11;1;4;2;1;
4;3;0;8;0;2;
0;60;2;1;1;0;
3;3;1;9;0;3;
12;3;4;8;0;2;
15;0;0;15;0;2;
4;4;1;8;0;2;
11;3;1;10;2;1;
12;12;0;5;1;1;
13;1;0;15;0;2;
2;3;0;10;2;2;
9;11;1;7;0;2;
10;16;3;4;0;1;
12;60;0;1;2;0;
1;9;0;7;0;1;
2;2;1;13;0;1;
3;3;1;11;0;2;
9;9;0;6;1;1;
1;9;1;4;1;0;
11;6;0;8;2;2;
13;8;2;7;0;1;
15;2;1;12;1;2;
1;52;1;1;1;0;
9;0;1;15;0;3;
14;10;1;6;1;1;
15;39;0;3;1;1;
6;4;2;13;0;3;
7;4;0;10;0;1;
11;4;2;11;1;2;
12;0;0;16;0;2;
0;7;1;6;1;1;
10;1;0;13;0;3;
11;0;1;16;0;4;
15;14;2;3;1;1;
3;2;0;13;0;1;
4;9;3;6;0;1;
8;1;0;14;0;1;
13;5;0;10;0;1;
0;3;1;8;0;2;
7;2;1;11;0;3;
9;3;0;7;1;0;
10;1;0;14;0;2;
6;1;1;12;0;5;
10;3;0;8;0;1;
11;25;2;5;1;1;
15;2;0;10;0;2;
6;1;0;15;1;2;
7;1;2;12;0;4;
12;1;0;14;0;1;
14;11;1;6;2;1;
8;1;1;12;0;5;
9;1;3;11;0;3;
13;0;0;16;0;2;
14;6;0;5;1;1;
0;60;1;1;0;0;
3;0;0;16;0;3;
7;12;0;3;0;1;
12;0;0;14;0;2;
1;9;0;4;0;1;
7;0;0;15;0;2;
10;4;2;7;0;3;
13;4;1;9;0;3;
2;2;0;9;0;1;
4;0;0;15;0;5;
7;0;3;14;0;5;
12;2;0;8;0;2;
4;4;0;7;0;1;
7;45;1;2;2;1;
8;8;2;4;1;0;
9;3;0;11;1;0;
0;2;1;11;0;1;
2;8;1;7;0;0;
9;1;0;13;0;2;
12;17;1;3;0;0;
0;5;0;7;0;2;
7;27;5;2;0;1;
11;0;0;16;0;2;
15;17;0;3;3;1;
0;12;1;7;0;2;
1;6;0;9;0;1;
6;1;1;14;1;3;
7;33;2;4;0;1;
4;3;1;10;0;3;
6;35;0;2;0;1;
8;1;0;13;0;2;
10;9;1;6;1;1;
3;1;2;12;0;2;
8;0;0;15;0;4;
9;1;0;11;1;1;
15;43;1;3;2;1;
3;0;0;16;0;3;
6;11;1;8;0;1;
7;0;1;15;0;1;
14;19;2;4;0;1;
0;8;0;4;0;2;
2;1;0;13;0;4;
7;5;1;8;0;2;
9;0;0;16;0;3;
1;0;1;14;0;4;
