normalCarId;Time Survived;Kills;Rank;Used Nitros;
1;10;3;5;0;
2;6;0;8;1;
7;11;1;4;1;
10;2;1;11;1;
0;2;2;11;2;
7;9;0;5;0;
8;8;0;7;0;
13;1;0;13;1;
8;4;0;7;1;
9;3;0;10;0;
13;0;0;15;0;
15;6;1;5;0;
0;14;0;4;0;
1;1;0;14;0;
4;1;0;12;1;
6;6;1;7;1;
1;23;2;4;2;
9;53;1;3;0;
14;4;0;11;1;
15;13;2;5;1;
2;1;0;15;1;
5;51;2;1;1;
7;7;0;6;1;
9;2;0;13;0;
6;4;0;7;0;
9;4;0;8;1;
13;2;0;11;0;
14;18;2;2;0;
1;6;1;9;0;
8;4;0;12;0;
9;2;0;14;0;
13;7;1;7;0;
0;7;0;5;0;
1;15;1;2;1;
4;6;0;6;2;
10;0;0;14;0;
2;0;0;12;0;
8;1;0;11;0;
10;5;1;5;0;
13;0;0;15;0;
0;3;0;9;1;
1;8;0;7;0;
12;1;0;14;0;
13;4;1;8;1;
1;3;1;11;0;
2;3;0;12;0;
9;2;0;14;0;
12;0;0;16;0;
1;7;1;6;1;
5;0;0;13;0;
6;2;1;11;0;
13;7;1;7;0;
2;4;1;10;1;
6;0;0;15;0;
7;4;1;11;0;
8;2;0;13;1;
0;0;1;15;0;
5;1;0;13;1;
7;31;0;3;1;
8;2;0;11;0;
3;5;0;9;0;
4;11;2;4;0;
7;2;1;11;0;
10;5;1;7;0;
5;3;0;7;1;
8;4;0;5;0;
14;1;1;12;0;
15;1;1;11;0;
3;0;1;15;0;
9;6;0;8;0;
12;3;0;9;2;
13;13;2;4;0;
2;0;0;16;0;
8;4;2;10;0;
9;3;0;11;0;
13;60;0;1;2;
3;60;2;1;0;
5;0;0;16;0;
10;41;1;4;2;
15;60;2;1;1;
0;11;1;6;1;
2;0;0;14;0;
4;3;0;8;0;
6;0;0;15;0;
0;11;1;5;0;
2;20;2;3;1;
7;5;0;7;2;
8;60;2;1;1;
0;4;0;5;0;
10;3;1;7;0;
12;0;0;14;0;
13;60;1;1;0;
1;5;0;9;0;
4;5;0;8;0;
9;2;0;13;0;
14;6;2;7;0;
0;7;0;5;1;
10;60;1;1;3;
11;1;0;13;0;
15;60;1;1;1;
1;2;1;12;0;
3;3;1;9;0;
8;1;0;15;1;
13;5;0;7;1;
3;0;0;13;0;
5;36;0;4;0;
9;1;0;12;0;
12;2;0;11;1;
0;1;0;15;1;
3;8;1;6;1;
9;2;1;12;0;
15;18;1;4;0;
2;16;2;3;1;
6;3;0;11;1;
9;0;1;14;0;
14;48;0;2;1;
1;13;0;6;1;
3;1;0;14;0;
4;2;0;10;0;
13;13;3;5;1;
4;0;0;16;0;
6;0;0;15;0;
9;3;1;11;0;
12;16;1;4;0;
1;2;0;11;0;
7;2;0;12;1;
10;35;2;2;1;
14;0;0;15;0;
4;7;0;8;0;
9;2;1;10;0;
11;1;1;12;0;
15;8;1;7;0;
0;4;0;9;1;
5;13;1;4;0;
14;0;0;15;0;
15;5;1;6;1;
0;58;2;1;3;
5;0;0;15;0;
10;1;2;9;0;
12;1;0;8;0;
1;13;1;5;1;
6;0;0;14;0;
7;60;2;1;1;
9;2;0;11;0;
0;4;0;9;0;
3;47;1;2;0;
8;2;1;11;0;
13;15;2;4;1;
7;0;0;14;0;
8;1;0;12;0;
9;1;1;11;0;
12;8;0;5;1;
0;2;1;12;1;
6;36;2;1;1;
12;9;1;6;2;
13;11;1;5;0;
0;3;0;11;0;
1;4;1;10;0;
2;2;0;14;1;
9;60;2;1;2;
9;0;0;15;0;
10;6;0;7;0;
14;5;0;9;1;
15;6;1;8;2;
5;0;0;14;0;
6;1;0;11;0;
7;2;2;10;1;
8;4;0;9;1;
0;60;1;1;3;
1;42;0;3;2;
9;2;0;9;0;
14;1;0;12;0;
0;0;0;15;0;
1;2;2;11;0;
5;4;0;8;1;
12;0;0;16;0;
0;5;0;9;2;
9;60;1;1;0;
10;4;0;10;0;
12;13;1;4;1;
0;9;1;5;1;
7;0;0;15;0;
10;3;1;11;1;
11;0;0;14;0;
2;0;0;16;0;
6;3;0;11;0;
7;2;0;13;1;
13;4;0;9;0;
0;2;0;14;1;
4;5;0;6;0;
10;1;0;15;0;
11;3;0;9;0;
1;8;1;7;0;
6;0;0;15;0;
12;0;0;13;0;
13;3;0;9;1;
2;3;0;13;0;
3;4;1;10;1;
7;8;2;7;0;
10;2;0;15;0;
5;6;0;9;0;
6;1;0;12;1;
14;60;4;1;1;
15;7;2;8;0;
4;0;1;14;0;
12;9;1;5;0;
14;10;0;4;0;
15;51;4;2;1;
2;4;0;8;0;
4;8;2;7;1;
5;0;0;13;0;
8;1;0;12;1;
3;13;1;5;2;
9;0;0;16;0;
11;1;0;14;0;
15;1;1;13;1;
3;3;1;9;1;
7;1;1;14;0;
12;0;0;15;0;
13;5;0;5;1;
1;3;0;7;0;
8;1;0;13;0;
10;28;2;3;2;
14;1;1;11;0;
1;3;1;9;0;
3;0;0;16;0;
7;3;1;12;1;
9;1;0;14;0;
1;0;0;16;0;
4;12;1;5;1;
7;2;0;11;0;
15;6;1;9;0;
8;2;0;14;1;
12;10;1;5;0;
13;2;0;15;0;
15;4;0;8;0;
2;3;0;9;1;
3;1;0;13;0;
5;8;3;5;1;
14;2;1;11;0;
0;7;1;8;1;
2;5;0;10;1;
5;5;0;11;0;
13;20;2;4;2;
2;6;0;6;0;
4;6;0;8;1;
5;15;3;3;0;
9;4;0;12;1;
2;35;0;2;1;
5;2;0;11;0;
6;7;2;5;0;
8;4;0;7;1;
2;47;2;3;1;
5;54;0;2;1;
7;2;0;12;0;
11;0;0;16;1;
1;2;1;13;0;
6;5;0;5;0;
11;5;0;6;2;
15;54;2;3;1;
0;1;0;13;0;
1;13;1;6;1;
7;0;0;16;0;
13;0;0;14;0;
0;15;0;4;2;
2;1;0;13;0;
3;7;1;7;0;
9;11;2;5;0;
0;1;0;15;0;
3;1;0;14;0;
4;1;0;9;0;
6;3;0;7;0;
2;1;0;12;0;
8;4;0;8;2;
11;5;1;5;0;
13;1;0;13;0;
2;0;0;16;0;
3;12;0;3;0;
6;0;0;14;0;
11;1;1;12;0;
5;11;1;4;0;
6;9;1;5;0;
10;28;2;3;0;
15;60;2;1;1;
0;7;0;6;0;
2;0;0;16;0;
10;2;0;13;0;
13;2;1;12;0;
7;7;1;8;1;
8;1;0;14;0;
10;1;1;12;1;
