SamochodZwykly;SamochodWybuchowy;SamochodLaserowy;SamochodOponowy;
11;13;4;4;
9;8;11;5;
11;7;4;10;
8;11;8;6;
10;10;9;3;
9;9;4;9;
9;5;11;8;
6;6;10;10;
10;9;5;8;
7;9;9;7;
7;10;12;3;
8;11;5;8;
10;8;8;7;
7;9;11;6;
9;10;11;3;
5;6;13;8;
10;5;7;10;
7;10;9;6;
9;8;12;4;
4;8;10;9;
5;10;7;10;
8;8;11;5;
8;7;9;8;
9;10;7;7;
8;9;8;8;
7;9;10;7;
8;13;6;5;
5;12;5;10;
9;10;4;9;
7;10;7;8;
9;10;7;6;
9;9;6;8;
7;6;11;9;
9;7;9;8;
12;5;9;6;
11;6;10;6;
7;9;7;10;
12;10;5;5;
8;9;9;7;
8;9;12;4;
8;6;10;9;
9;12;4;7;
8;9;8;7;
10;8;10;5;
8;10;7;8;
11;10;4;7;
8;9;11;4;
10;6;9;7;
11;7;4;9;
9;8;10;5;
9;11;6;6;
9;9;6;8;
6;10;9;7;
4;9;11;8;
9;7;11;5;
9;7;9;6;
7;13;7;6;
8;9;9;6;
8;13;7;4;
7;8;9;8;
10;11;7;5;
7;9;8;8;
9;8;8;8;
12;3;9;9;
7;10;6;9;
11;10;3;8;
9;8;10;6;
10;10;7;5;
7;10;10;5;
12;9;6;6;
6;12;8;7;
11;4;10;6;
11;9;6;6;
13;7;8;5;
8;5;13;7;
9;4;12;8;
7;10;11;5;
6;12;8;6;
9;12;7;4;
9;12;6;5;
9;10;6;7;
12;11;6;4;
12;9;8;3;
11;9;5;6;
11;6;8;7;
10;9;8;5;
9;8;10;4;
4;9;11;8;
11;10;8;4;
11;4;10;8;
6;8;11;8;
12;5;8;7;
5;7;10;11;
8;8;10;7;
9;7;9;7;
7;11;11;4;
9;8;7;8;
6;9;8;10;
7;6;11;8;
9;12;7;4;
