tirePopperCarId;Time Survived;Kills;Rank;Used Nitros;Damaged Tires;
4;12;0;6;0;4;
5;3;1;7;0;6;
8;60;2;1;4;7;
9;49;1;4;3;12;
0;4;3;7;1;10;
6;8;1;5;0;5;
7;8;2;6;0;10;
8;45;0;2;3;3;
0;10;2;7;1;15;
5;21;1;6;1;8;
9;3;0;13;1;1;
12;0;0;16;0;3;
2;5;1;9;1;8;
5;18;2;5;1;8;
8;26;4;3;0;11;
15;8;1;7;0;7;
5;60;1;1;0;5;
11;60;2;1;1;5;
12;21;1;3;1;1;
15;6;2;7;0;7;
2;0;0;16;0;1;
3;21;0;4;1;0;
5;7;0;7;2;6;
8;2;1;12;0;5;
8;0;0;16;0;0;
11;22;3;3;0;23;
12;1;1;12;0;10;
14;60;4;1;0;16;
1;7;0;6;1;0;
2;5;1;11;1;7;
4;0;0;15;0;0;
12;5;2;9;1;18;
1;1;0;15;0;1;
3;11;0;4;0;0;
8;4;0;10;0;0;
14;8;1;5;1;13;
3;47;2;1;0;13;
6;0;0;13;0;1;
10;30;1;3;2;7;
13;0;0;14;0;3;
3;13;3;6;1;14;
9;21;0;5;1;6;
10;60;0;1;3;2;
11;34;3;3;0;10;
8;0;0;15;0;2;
11;10;1;6;1;8;
12;24;1;4;0;6;
13;7;0;8;0;1;
3;4;1;7;0;13;
4;4;2;8;0;7;
10;30;3;2;1;13;
12;1;2;12;0;10;
3;17;2;5;0;10;
5;19;2;4;1;11;
7;42;4;1;2;13;
11;0;0;16;0;0;
6;31;1;2;2;6;
8;31;1;1;0;4;
10;7;2;6;0;12;
14;16;4;3;1;12;
5;14;2;6;1;10;
9;5;0;12;1;2;
13;5;0;13;1;0;
14;18;3;4;0;10;
3;2;1;12;1;5;
5;1;0;13;0;6;
13;0;0;15;0;3;
14;11;4;3;0;15;
0;3;1;10;0;11;
1;14;2;4;2;4;
3;5;2;9;0;4;
15;14;3;3;0;13;
2;15;2;5;1;15;
4;21;2;3;1;12;
7;39;4;1;0;13;
14;11;1;7;0;7;
4;4;0;13;0;7;
7;15;3;6;1;10;
11;18;2;4;1;13;
13;0;0;15;0;1;
1;54;2;3;2;11;
4;4;1;11;0;5;
11;0;1;14;0;5;
14;2;0;13;0;2;
1;60;1;1;1;5;
2;17;3;5;1;15;
4;0;0;16;0;0;
5;60;2;1;2;16;
1;26;2;3;1;11;
6;4;0;10;1;5;
7;4;1;9;0;4;
9;3;0;12;0;3;
1;2;0;10;0;0;
2;3;0;8;0;3;
3;6;1;4;0;5;
7;5;0;6;0;3;
1;6;3;5;0;11;
2;1;1;11;0;7;
11;0;0;15;0;1;
14;23;7;2;0;28;
3;10;1;4;0;7;
6;5;1;9;0;4;
11;4;1;10;0;3;
13;8;1;5;0;6;
1;60;3;1;1;9;
7;13;0;5;0;1;
9;2;3;12;0;7;
15;19;2;4;0;13;
0;3;1;10;0;4;
1;2;1;12;0;4;
12;0;0;16;0;0;
14;9;1;5;0;6;
1;4;1;8;0;5;
2;2;0;12;0;0;
14;1;0;16;1;0;
15;60;4;1;5;18;
5;6;0;8;2;1;
6;4;0;9;0;1;
7;2;3;11;0;12;
11;16;1;4;4;6;
1;2;0;10;1;3;
3;2;0;11;0;3;
9;23;2;4;0;8;
15;60;1;1;1;2;
3;7;0;5;0;1;
6;0;1;15;0;5;
10;24;3;2;1;11;
15;1;1;10;1;19;
0;2;1;11;0;4;
3;2;0;13;0;3;
6;16;3;5;0;11;
9;14;0;7;0;4;
2;2;0;12;0;1;
4;0;0;14;0;0;
7;39;1;2;1;7;
14;11;2;6;1;12;
4;3;0;11;0;10;
6;12;3;4;0;16;
7;3;0;10;1;5;
11;43;3;2;2;12;
