Weight;SimulationLength;CarsSurvived;
1000;30;4;
1000;30;5;
1000;30;4;
1000;30;2;
1000;15;1;
1000;30;3;
1000;14;0;
1000;30;3;
1000;30;3;
1000;30;2;
1000;30;4;
1000;30;2;
1000;30;4;
1000;30;2;
1000;30;3;
1000;30;3;
1000;30;3;
1000;30;2;
1000;30;4;
1000;30;2;
1000;30;3;
1000;30;4;
1000;20;1;
1000;30;4;
1000;30;3;
1000;30;3;
1000;30;2;
1000;30;3;
1000;30;4;
1000;26;1;
1000;30;3;
1000;30;3;
1000;30;2;
1000;30;4;
1000;29;1;
1000;30;3;
1000;30;3;
1000;30;4;
1000;30;4;
1000;30;4;
1000;26;1;
1000;30;4;
1000;30;4;
1000;30;3;
1000;30;2;
1000;30;2;
1000;30;2;
1000;30;3;
1000;30;4;
1000;30;5;
1000;26;1;
1000;30;2;
1000;30;3;
1000;30;2;
1000;30;4;
1000;30;2;
1000;27;1;
1000;30;5;
1000;26;0;
1000;30;2;
1000;30;3;
1000;30;3;
1000;30;3;
1000;30;4;
1000;30;3;
1000;30;2;
1000;30;4;
1000;30;3;
1000;30;2;
1000;30;3;
1000;30;2;
1000;30;3;
1000;30;3;
1000;30;2;
1000;30;4;
1000;30;3;
1000;30;3;
1000;30;3;
1000;30;4;
1000;30;4;
1000;30;2;
1000;30;3;
1000;30;4;
1000;25;1;
1000;30;4;
1000;30;3;
1000;30;2;
1000;30;3;
1000;30;2;
1000;30;4;
1000;30;3;
1000;30;2;
1000;26;1;
1000;30;4;
1000;30;3;
1000;30;3;
1000;30;3;
1000;30;2;
1000;30;2;
1000;30;4;
1200;30;2;
1200;30;3;
1200;30;3;
1200;30;3;
1200;30;3;
1200;30;2;
1200;30;3;
1200;30;2;
1200;30;3;
1200;23;1;
1200;30;3;
1200;30;3;
1200;30;4;
1200;30;1;
1200;30;3;
1200;30;3;
1200;30;3;
1200;28;1;
1200;30;3;
1200;30;4;
1200;30;3;
1200;30;4;
1200;30;3;
1200;30;4;
1200;30;2;
1200;30;2;
1200;29;1;
1200;30;3;
1200;30;3;
1200;30;3;
1200;30;2;
1200;30;5;
1200;30;2;
1200;30;3;
1200;30;3;
1200;30;2;
1200;30;2;
1200;30;4;
1200;30;3;
1200;30;3;
1200;30;3;
1200;30;2;
1200;30;2;
1200;30;3;
1200;30;4;
1200;30;3;
1200;30;4;
1200;30;3;
1200;30;2;
1200;30;3;
1200;30;4;
1200;30;4;
1200;30;3;
1200;30;4;
1200;30;3;
1200;30;2;
1200;30;2;
1200;30;4;
1200;30;2;
1200;30;4;
1200;30;3;
1200;30;2;
1200;30;4;
1200;30;2;
1200;30;3;
1200;30;2;
1200;30;3;
1200;30;2;
1200;30;4;
1200;30;3;
1200;30;2;
1200;30;3;
1200;30;2;
1200;12;1;
1200;27;1;
1200;30;3;
1200;30;4;
1200;30;3;
1200;30;5;
1200;30;3;
1200;30;4;
1200;30;4;
1200;30;4;
1200;30;5;
1200;16;1;
1200;30;4;
1200;30;3;
1200;30;3;
1200;30;4;
1200;30;2;
1200;30;3;
1200;30;2;
1200;30;3;
1200;30;3;
1200;30;5;
1200;30;2;
1200;30;2;
1200;30;3;
1200;30;3;
1200;30;3;
1400;30;3;
1400;30;3;
1400;30;3;
1400;30;3;
1400;30;3;
1400;30;4;
1400;30;2;
1400;30;1;
1400;30;2;
1400;30;4;
1400;30;2;
1400;30;2;
1400;30;2;
1400;30;3;
1400;30;3;
1400;30;2;
1400;30;2;
1400;30;3;
1400;30;6;
1400;30;3;
1400;30;2;
1400;30;5;
1400;30;3;
1400;30;4;
1400;30;5;
1400;23;1;
1400;30;3;
1400;30;2;
1400;30;4;
1400;30;2;
1400;30;2;
1400;30;3;
1400;30;3;
1400;30;5;
1400;30;3;
1400;30;3;
1400;30;4;
1400;30;3;
1400;20;1;
1400;30;2;
1400;30;2;
1400;30;3;
1400;30;4;
1400;30;3;
1400;30;4;
1400;30;5;
1400;30;2;
1400;30;3;
1400;30;5;
1400;30;3;
1400;30;4;
1400;30;5;
1400;30;2;
1400;30;3;
1400;30;3;
1400;30;3;
1400;30;3;
1400;30;2;
1400;30;2;
1400;30;4;
1400;30;4;
1400;30;3;
1400;30;2;
1400;30;2;
1400;30;4;
1400;30;2;
1400;30;3;
1400;30;5;
1400;30;4;
1400;30;2;
1400;30;3;
1400;30;4;
1400;30;3;
1400;30;6;
1400;30;3;
1400;30;4;
1400;30;3;
1400;30;2;
1400;30;4;
1400;30;2;
1400;30;2;
1400;30;3;
1400;30;4;
1400;30;2;
1400;25;1;
1400;30;2;
1400;30;3;
1400;30;3;
1400;30;4;
1400;30;2;
1400;30;4;
1400;30;3;
1400;30;4;
1400;30;3;
1400;30;3;
1400;30;3;
1400;30;3;
1400;30;3;
1400;30;3;
1400;30;3;
1600;30;5;
1600;25;1;
1600;30;4;
1600;30;3;
1600;30;4;
1600;30;6;
1600;30;4;
1600;30;4;
1600;30;4;
1600;30;3;
1600;30;4;
1600;30;4;
1600;30;4;
1600;30;4;
1600;30;3;
1600;30;3;
1600;30;5;
1600;30;4;
1600;30;3;
1600;30;6;
1600;30;3;
1600;30;3;
1600;30;3;
1600;30;3;
1600;30;4;
1600;30;2;
1600;30;5;
1600;30;4;
1600;30;4;
1600;30;4;
1600;30;2;
1600;30;3;
1600;30;4;
1600;30;3;
1600;30;3;
1600;30;4;
1600;30;4;
1600;30;3;
1600;30;6;
1600;30;4;
1600;30;4;
1600;30;2;
1600;30;2;
1600;30;6;
1600;30;3;
1600;30;3;
1600;29;1;
1600;30;4;
1600;30;3;
1600;30;3;
1600;30;4;
1600;30;4;
1600;30;4;
1600;30;5;
1600;30;4;
1600;30;2;
1600;30;4;
1600;30;4;
1600;30;2;
1600;30;3;
1600;30;3;
1600;30;3;
1600;30;5;
1600;30;4;
1600;30;5;
1600;28;1;
1600;30;2;
1600;30;4;
1600;30;3;
1600;30;2;
1600;30;4;
1600;30;4;
1600;30;3;
1600;30;4;
1600;30;3;
